user_id,age,family_size,electricity_bill,water_usage,daily_travel_km,waste_generated,vehicle_type,total_carbon_footprint
492,23,6,2553,741,29.0,40.6,Electric Vehicle,2169.31
493,22,5,2083,482,20.2,25.2,Car,1848.4
494,40,4,1587,424,71.1,29.0,Car,1764.19
495,51,5,1904,638,85.5,33.0,Car,2117.07
496,43,4,1579,513,22.3,24.0,Public Transport,1377.54
497,38,1,793,169,98.0,2.8,Car,1269.23
498,33,1,682,421,24.0,15.2,Public Transport,642.86
499,38,2,1253,271,13.8,8.5,Electric Vehicle,1058.06
500,38,5,1473,646,31.7,24.3,Car,1420.37
501,49,3,1423,601,17.9,1,Public Transport,1224.35
502,51,1,939,252,68.8,9.4,Car,1208.37
503,57,4,1644,539,18.1,16.9,Bike,1471.1
504,36,2,1039,263,8.0,1,Public Transport,877.94
505,47,5,1562,568,69.1,26.6,Car,1730.04
506,37,4,1437,437,30.4,37.9,Electric Vehicle,1255.18
507,21,3,1522,476,21.5,15.5,Bike,1391.72
508,37,3,1225,550,80.3,12.9,Car,1517.39
509,43,3,760,577,63.0,18.9,Car,1030.13
510,28,1,500,377,14.4,15.4,Car,508.8
511,71,2,694,392,22.4,1,Electric Vehicle,612.31
512,33,5,2164,452,44.6,14.7,Car,2063.26
513,75,3,1368,380,77.9,13.9,Electric Vehicle,1276.32
514,47,2,1292,379,87.5,4.2,Car,1613.17
515,36,1,614,250,36.2,1,Car,732.29
516,63,6,2199,814,39.0,30.3,Car,2064.84
517,55,4,1262,555,47.6,22.7,Car,1346.62
518,18,3,1916,503,4.4,4.8,Bike,1601.74
519,40,3,1350,400,18.8,25.4,Public Transport,1179.32
520,25,3,1832,639,26.0,20.2,Bike,1676.78
521,43,1,731,171,48.1,9.9,Public Transport,756.06
522,33,2,500,189,31.9,28.2,Electric Vehicle,484.58
523,42,3,1346,599,88.3,28.0,Car,1674.61
524,18,3,934,464,79.9,3.6,Car,1271.51
525,57,3,1550,596,5.2,8.4,Bike,1308.56
526,43,2,1216,470,23.2,22.1,Public Transport,1081.72
527,42,3,1500,532,28.0,6.3,Bike,1410.08
528,30,2,1073,270,17.1,25.4,Public Transport,946.69
529,47,4,1339,536,18.3,23.8,Car,1225.71
530,55,3,1597,492,99.7,34.4,Car,1955.34
531,63,1,1195,308,54.7,1,Public Transport,1153.01
532,31,6,2133,604,37.0,51.9,Electric Vehicle,1845.54
533,33,3,1823,361,49.2,14.1,Public Transport,1657.25
534,46,4,1532,297,28.7,20.4,Bike,1447.55
535,43,3,1759,519,87.8,13.2,Car,2002.64
536,48,1,640,470,94.6,5.1,Car,1123.8
537,44,3,1089,482,1.6,21.0,Bike,914.04
538,26,3,1252,454,49.0,26.4,Car,1348.99
539,67,4,1230,508,78.0,10.3,Car,1505.66
540,33,7,2853,918,9.8,47.8,Public Transport,2395.15
541,46,2,701,470,58.0,19.1,Car,950.24
542,56,4,1289,594,92.3,21.7,Car,1649.91
543,51,1,500,474,60.0,8.5,Car,792.72
544,46,2,837,460,91.3,9.8,Car,1266.89
545,36,5,1731,524,6.6,30.4,Bike,1476.72
546,36,5,2438,736,79.6,11.4,Electric Vehicle,2156.04
547,26,4,1621,576,21.8,12.6,Bike,1473.44
548,46,5,2265,732,32.2,35.7,Electric Vehicle,1936.74
549,25,4,1513,664,42.8,17.2,Car,1519.56
550,59,5,1956,649,51.2,44.3,Public Transport,1788.0
551,61,5,2190,542,21.8,22.4,Public Transport,1876.21
552,42,1,500,334,33.7,3.1,Car,624.19
553,49,3,1401,468,12.8,8.8,Car,1234.33
554,37,1,500,181,43.0,3.1,Electric Vehicle,493.0
555,47,2,1136,549,36.2,1,Car,1160.63
556,48,2,1264,278,65.3,1,Car,1448.65
557,54,5,1772,640,56.2,43.9,Electric Vehicle,1581.85
558,40,2,1079,402,11.1,23.6,Bike,966.91
559,54,4,1887,488,50.9,49.8,Car,1893.4
560,57,2,1468,193,33.7,10.6,Car,1421.56
561,36,3,1187,381,85.2,7.4,Car,1514.18
562,43,5,1750,498,53.4,43.5,Car,1793.67
563,30,2,1165,426,19.3,13.3,Bike,1083.97
564,54,2,1413,433,74.8,17.8,Car,1639.23
565,27,4,1693,597,12.0,34.2,Car,1481.56
566,50,5,2308,746,7.7,30.9,Bike,1957.27
567,61,7,2236,704,21.6,34.0,Bike,1987.3
568,34,5,2118,820,24.9,26.0,Bike,1907.45
569,23,2,1131,322,33.8,9.9,Car,1145.63
570,31,2,1165,392,6.1,21.6,Bike,1004.92
571,56,2,900,407,14.3,10.9,Bike,833.95
572,42,4,1303,624,18.1,30.1,Bike,1198.16
573,59,1,817,157,43.3,20.0,Car,952.89
574,49,4,2185,564,76.7,13.2,Car,2282.07
575,46,1,881,330,30.9,12.7,Car,923.77
576,35,5,1734,678,62.0,41.6,Car,1833.96
577,46,4,1391,414,24.9,30.7,Public Transport,1234.82
578,62,3,1939,375,42.4,22.8,Public Transport,1735.32
579,45,2,1122,267,35.5,12.3,Public Transport,1038.28
580,57,2,1439,362,77.3,1,Car,1667.83
581,23,4,1759,599,23.6,6.7,Public Transport,1520.67
582,37,3,1178,470,4.4,16.9,Bike,1002.6
583,59,3,1545,487,1.1,1,Bike,1274.82
584,73,2,811,347,67.4,1,Electric Vehicle,793.25
585,34,2,1181,519,35.7,25.2,Car,1206.45
586,49,2,1028,393,5.0,15.1,Public Transport,866.65
587,72,8,2901,768,37.2,27.6,Public Transport,2510.57
588,42,4,1704,499,34.4,40.7,Electric Vehicle,1483.14
589,56,3,1195,419,50.2,17.3,Electric Vehicle,1083.85
590,60,4,1722,473,96.1,46.6,Car,2041.24
591,64,2,638,310,49.4,15.6,Electric Vehicle,624.64
592,19,5,1869,491,3.5,29.4,Bike,1569.82
593,64,4,2100,534,22.4,35.0,Public Transport,1810.59
594,40,6,2284,700,83.9,36.7,Car,2420.5
595,75,5,1672,633,28.8,43.3,Electric Vehicle,1447.76
596,37,5,1760,670,24.5,42.6,Electric Vehicle,1511.47
597,48,5,1821,580,27.6,21.0,Bike,1678.18
598,25,2,715,351,65.9,10.7,Car,1007.17
599,18,4,2132,418,98.6,28.2,Car,2383.94
600,38,4,2037,708,58.7,28.1,Car,2054.91
601,29,3,1277,402,58.9,1.9,Electric Vehicle,1159.81
602,50,5,1965,542,33.4,23.4,Car,1833.96
603,34,3,943,484,32.4,20.8,Public Transport,886.2
604,67,1,1173,288,17.3,14.8,Bike,1078.54
605,45,4,1622,612,25.9,37.9,Public Transport,1431.19
606,75,5,2388,672,69.5,39.5,Electric Vehicle,2109.94
607,21,3,1405,377,61.1,4.0,Car,1539.41
608,58,6,2452,560,23.4,35.2,Public Transport,2102.51
609,32,5,2160,587,3.6,44.1,Bike,1816.52
610,18,4,2022,503,42.0,16.2,Car,1931.24
611,36,2,996,170,20.8,8.3,Public Transport,886.56
612,38,5,2423,546,86.4,39.2,Car,2551.33
613,53,4,1685,626,19.7,18.0,Public Transport,1453.38
614,35,1,952,213,39.0,17.1,Electric Vehicle,863.11
615,46,4,1588,394,59.0,27.8,Electric Vehicle,1427.96
616,49,4,1715,631,11.9,14.0,Bike,1488.9
617,45,3,1336,517,89.7,14.8,Car,1668.55
618,55,3,1761,589,19.9,32.0,Bike,1585.98
619,53,2,500,420,34.5,1,Car,628.27
620,58,3,1172,344,60.8,10.0,Car,1349.42
621,23,3,1248,545,82.4,7.5,Car,1546.78
622,50,3,1604,643,40.9,17.8,Car,1582.49
623,43,4,2291,426,10.8,14.9,Car,1954.54
624,50,4,1685,467,45.5,30.1,Car,1683.87
625,57,6,2024,762,28.2,34.2,Public Transport,1766.37
626,70,6,1958,667,82.8,26.2,Car,2140.97
627,19,5,2052,695,65.6,24.3,Car,2108.76
628,65,4,1704,657,3.1,27.3,Bike,1431.12
629,42,6,2218,627,14.8,27.6,Bike,1926.43
630,55,5,944,447,51.4,32.0,Public Transport,952.44
631,49,3,1368,422,27.3,27.7,Car,1308.02
632,21,4,1515,548,49.9,13.8,Car,1564.12
633,44,3,850,501,98.4,2.5,Car,1318.67
634,48,3,1595,439,46.5,15.5,Electric Vehicle,1403.97
635,44,6,2448,898,25.2,43.2,Electric Vehicle,2077.49
636,58,3,1512,451,10.8,23.1,Car,1319.88
637,70,4,1250,560,9.9,26.1,Public Transport,1069.79
638,50,1,500,440,19.3,7.5,Bike,535.78
639,37,1,903,351,65.2,7.9,Electric Vehicle,867.99
640,18,3,1423,424,27.0,7.4,Bike,1341.08
641,28,4,1521,688,5.6,12.3,Bike,1289.34
642,64,3,1908,569,4.7,11.9,Bike,1600.69
643,41,5,1942,622,44.1,28.1,Car,1884.94
644,47,5,1543,631,58.5,43.5,Car,1656.19
645,31,5,1570,621,39.0,23.7,Car,1545.57
646,39,3,1333,486,24.1,12.7,Electric Vehicle,1145.44
647,38,4,1135,457,57.3,19.8,Car,1302.05
648,34,2,1354,588,32.0,21.9,Public Transport,1222.62
649,49,3,1383,426,94.4,9.4,Car,1733.91
650,52,3,810,457,9.1,20.7,Bike,732.34
651,75,2,1445,472,27.1,6.5,Car,1359.35
652,43,3,1216,459,19.2,7.0,Bike,1122.04
653,34,5,1634,441,5.4,19.6,Bike,1384.14
654,52,6,3153,612,59.5,36.1,Public Transport,2791.55
655,38,5,1978,514,64.8,20.8,Car,2041.11
656,40,4,968,533,26.8,47.8,Public Transport,902.61
657,38,1,500,231,31.1,4.9,Electric Vehicle,471.46
658,55,4,1600,606,35.5,9.2,Public Transport,1429.03
659,18,2,1096,402,12.6,2.3,Public Transport,939.96
660,59,4,2194,624,61.4,28.7,Electric Vehicle,1930.1
661,40,1,1011,465,61.9,18.5,Car,1228.7
662,33,3,1811,424,23.1,15.0,Bike,1638.47
663,29,6,1727,800,25.9,23.9,Electric Vehicle,1477.84
664,28,6,2287,636,16.2,37.4,Bike,1996.74
665,55,5,1967,651,45.4,15.3,Car,1907.26
666,51,2,1043,355,2.5,22.5,Bike,882.62
667,40,3,1248,484,79.6,20.9,Car,1535.77
668,50,2,923,341,76.2,7.4,Car,1240.96
669,45,4,1694,452,16.3,17.5,Electric Vehicle,1429.09
670,31,3,1565,441,59.3,15.6,Public Transport,1478.34
671,18,1,592,319,24.5,9.2,Bike,644.71
672,58,4,1063,565,74.9,25.3,Electric Vehicle,1026.44
673,63,1,1209,313,13.5,15.2,Bike,1084.34
674,46,3,1302,383,75.7,16.4,Car,1553.13
675,59,5,2344,635,13.9,32.1,Car,2026.33
676,55,4,1246,677,11.7,27.8,Bike,1110.01
677,41,6,1929,531,26.0,28.0,Bike,1760.11
678,36,1,1310,370,47.2,12.1,Electric Vehicle,1169.83
679,51,5,1288,679,7.4,18.9,Bike,1112.91
680,42,3,1458,406,31.3,25.0,Car,1405.66
681,62,3,1509,330,72.3,19.3,Electric Vehicle,1384.01
682,41,2,967,503,17.9,29.7,Car,921.06
683,18,6,1930,609,18.2,46.4,Public Transport,1663.74
684,75,5,1805,554,16.2,27.2,Bike,1596.31
685,54,1,580,445,22.2,35.2,Car,633.5
686,43,6,2801,775,95.4,28.1,Car,2912.66
687,54,4,2001,429,89.2,14.1,Car,2210.26
688,52,1,995,483,47.9,1,Public Transport,967.77
689,52,4,1682,402,36.2,23.7,Public Transport,1505.52
690,55,3,1088,416,64.4,7.5,Car,1302.05
691,41,2,1258,286,5.8,29.0,Bike,1082.89
692,50,5,1972,479,63.0,36.3,Electric Vehicle,1754.74
693,75,5,2550,601,39.2,21.7,Car,2349.41
694,47,3,1399,450,38.6,7.9,Public Transport,1273.17
695,44,1,500,267,56.9,1,Car,769.24
696,53,8,3111,760,60.2,41.7,Car,2951.89
697,23,3,1587,485,21.8,21.6,Public Transport,1381.29
698,30,2,1243,493,24.9,15.8,Bike,1184.52
699,22,4,2044,653,58.7,28.2,Electric Vehicle,1801.78
700,56,3,1407,326,30.0,9.6,Public Transport,1253.37
701,44,6,2696,601,21.1,40.7,Car,2364.6
702,55,2,1327,247,95.5,24.8,Car,1702.44
703,34,5,2025,400,69.4,38.8,Car,2117.52
704,69,5,2376,544,50.2,32.9,Car,2281.57
705,39,3,1486,509,32.8,1,Car,1426.17
706,52,3,1341,514,52.8,12.9,Car,1439.22
707,39,4,1468,495,65.8,4.7,Car,1621.14
708,35,4,1701,524,56.7,19.8,Electric Vehicle,1512.41
709,51,2,1133,364,14.8,6.3,Public Transport,979.19
710,26,3,973,474,62.1,10.5,Car,1194.81
711,51,3,1262,551,8.7,6.5,Public Transport,1066.05
712,53,3,1505,432,57.2,10.4,Car,1600.09
713,38,2,1425,482,98.8,1,Car,1791.92
714,47,8,2495,828,33.9,55.9,Public Transport,2181.46
715,59,3,1614,553,66.9,11.9,Car,1751.45
716,45,2,751,385,18.8,12.4,Bike,740.85
717,66,5,2291,266,23.4,15.3,Public Transport,1960.25
718,37,5,1964,585,32.9,44.4,Public Transport,1736.9
719,44,4,1542,455,65.4,28.6,Car,1691.21
720,46,3,1588,355,68.1,1,Car,1732.04
721,24,4,1939,462,48.1,7.3,Public Transport,1745.61
722,57,4,1432,526,28.7,14.5,Car,1362.83
723,34,1,963,239,29.6,35.1,Electric Vehicle,863.39
724,53,1,500,210,87.8,3.6,Car,965.15
725,45,1,720,323,32.3,8.4,Public Transport,696.67
726,61,4,1586,524,80.0,27.9,Car,1818.99
727,58,3,1690,477,27.1,32.6,Car,1573.31
728,33,1,673,425,94.4,22.8,Car,1158.4
729,41,3,1297,350,57.0,40.5,Car,1443.24
730,45,3,978,555,15.6,23.3,Bike,912.44
731,37,2,820,339,32.5,14.9,Electric Vehicle,741.61
732,56,3,1643,502,5.8,21.9,Public Transport,1376.98
733,32,2,1125,469,12.8,9.5,Public Transport,968.04
734,33,4,1765,471,12.2,16.0,Public Transport,1494.2
735,22,4,1728,560,14.8,10.3,Public Transport,1469.29
736,33,5,1551,555,74.2,21.1,Car,1750.38
737,36,2,1546,352,21.9,20.7,Car,1416.39
738,18,2,1115,317,30.9,1,Car,1109.79
739,49,6,1758,551,43.5,23.7,Public Transport,1590.99
740,22,5,1727,731,30.4,28.5,Public Transport,1526.88
741,57,6,2125,668,24.5,35.7,Bike,1915.37
742,32,2,620,280,39.1,9.8,Public Transport,636.74
743,18,2,845,440,63.2,13.4,Car,1098.2
744,29,4,1284,552,27.9,36.4,Bike,1247.4
745,29,3,1070,398,84.0,27.9,Car,1420.95
746,75,4,1710,607,32.2,8.2,Public Transport,1508.34
747,41,3,1606,269,54.5,22.9,Electric Vehicle,1431.64
748,45,5,2247,518,20.4,35.9,Bike,1989.53
749,37,5,2168,575,40.4,36.2,Electric Vehicle,1872.79
750,43,4,1670,641,8.8,21.5,Bike,1436.23
751,32,5,2391,671,42.3,39.7,Car,2247.63
752,21,4,2114,471,26.0,26.7,Public Transport,1829.2
753,23,3,1158,470,55.8,19.5,Public Transport,1135.55
754,37,6,2242,725,21.6,35.0,Bike,1992.74
755,28,4,1775,537,47.4,4.7,Car,1757.01
756,52,2,857,430,50.5,23.6,Car,1033.12
757,39,4,1337,459,31.3,11.9,Car,1299.94
758,44,2,967,508,20.2,10.7,Car,926.06
759,22,4,1955,666,78.9,23.4,Electric Vehicle,1764.59
760,28,6,2547,796,96.4,37.6,Car,2715.46
761,63,5,2027,537,10.3,30.4,Bike,1742.77
762,28,2,1023,369,65.9,1.2,Electric Vehicle,964.38
763,44,4,2091,462,60.7,32.9,Car,2113.94
764,51,4,1735,721,35.8,21.7,Car,1659.81
765,60,4,1794,475,8.4,24.3,Bike,1536.62
766,43,4,1769,492,49.4,19.3,Public Transport,1616.33
767,43,6,1714,716,34.0,37.2,Electric Vehicle,1489.06
768,49,4,1580,222,31.4,23.5,Car,1505.39
769,25,4,1768,697,40.3,21.7,Public Transport,1588.25
770,37,4,1912,487,57.9,37.8,Car,1952.0
771,27,5,1784,628,10.8,36.4,Electric Vehicle,1502.12
772,37,2,500,368,54.6,9.5,Electric Vehicle,518.31
773,60,3,1866,362,19.7,30.1,Public Transport,1607.59
774,57,1,1076,299,27.5,1,Car,1056.37
775,33,5,2111,733,84.9,31.4,Car,2282.32
776,45,5,2148,635,0.7,35.5,Bike,1784.15
777,74,5,1634,461,54.7,27.6,Electric Vehicle,1457.52
778,37,4,1525,420,97.0,4.3,Car,1864.17
779,63,2,1042,492,54.7,20.5,Electric Vehicle,968.56
780,39,1,1037,311,2.2,1,Bike,865.01
781,47,2,997,410,28.5,1.8,Electric Vehicle,872.71
782,51,5,1771,670,23.1,38.3,Bike,1617.57
783,49,6,2655,617,2.2,25.9,Bike,2204.53
784,40,1,963,384,56.5,18.8,Electric Vehicle,906.23
785,42,6,2573,626,94.6,21.7,Car,2717.32
786,45,5,1515,647,28.6,15.3,Bike,1430.78
787,52,2,500,284,42.5,1.4,Public Transport,544.86
788,57,4,1616,291,13.8,17.6,Bike,1421.15
789,47,1,787,325,15.5,1,Public Transport,694.99
790,18,3,1142,581,22.6,23.3,Car,1091.05
791,53,6,1959,636,16.2,28.5,Bike,1723.33
792,62,4,1367,567,23.6,23.3,Bike,1281.84
793,52,4,1806,401,71.0,26.8,Car,1942.02
794,38,1,500,353,52.4,8.4,Car,744.67
795,48,3,1302,409,1.5,11.4,Bike,1083.2
796,69,3,1399,304,14.9,8.7,Bike,1245.7
797,48,2,1156,280,98.4,8.8,Car,1572.52
798,33,5,1890,743,78.8,41.4,Car,2067.68
799,33,3,1470,497,43.3,6.8,Public Transport,1345.69
800,39,4,1611,696,80.0,33.6,Car,1842.52
801,62,4,1838,542,19.6,31.2,Bike,1646.78
802,34,4,1166,515,57.1,15.6,Car,1324.16
803,18,5,1886,602,15.0,39.5,Bike,1661.37
804,38,4,1378,613,15.9,22.4,Bike,1241.94
805,56,4,1676,415,47.4,18.7,Public Transport,1533.39
806,34,4,2152,435,25.9,1,Car,1928.74
807,42,3,1199,395,23.4,23.1,Public Transport,1068.83
808,21,6,2382,755,53.7,28.5,Car,2306.55
809,68,6,2178,568,15.9,29.7,Public Transport,1851.46
810,33,4,1387,673,36.3,31.4,Electric Vehicle,1222.32
811,48,5,1322,640,27.8,18.1,Bike,1268.87
812,49,5,2311,436,12.0,7.6,Public Transport,1937.06
813,43,3,1733,607,25.4,5.8,Car,1584.59
814,71,1,500,211,29.1,1,Bike,594.04
815,48,3,1566,369,51.4,21.9,Electric Vehicle,1392.58
816,34,3,864,461,90.3,25.9,Car,1290.78
817,37,3,1322,455,12.8,1,Electric Vehicle,1109.19
818,49,5,2027,442,50.7,30.0,Car,1996.99
819,46,5,2435,632,19.3,23.5,Electric Vehicle,2045.56
820,65,5,2135,567,62.3,43.2,Electric Vehicle,1890.61
821,61,4,1733,338,48.4,15.6,Public Transport,1581.66
822,57,2,607,571,6.8,22.2,Public Transport,530.83
823,34,4,2003,498,80.9,40.0,Car,2172.63
824,60,3,1249,601,17.8,13.2,Electric Vehicle,1065.02
825,31,5,1826,666,16.0,25.1,Car,1611.34
826,35,5,1923,706,50.6,34.5,Electric Vehicle,1690.45
827,54,3,1343,388,19.7,14.5,Public Transport,1170.95
828,34,5,2057,498,21.3,28.0,Bike,1835.43
829,36,2,940,514,95.1,20.6,Car,1380.74
830,18,6,2503,660,30.2,32.2,Electric Vehicle,2126.3
831,51,3,1274,612,88.7,3.9,Car,1606.05
832,42,2,1813,328,29.4,11.0,Public Transport,1585.1
833,37,3,1911,538,57.1,10.8,Public Transport,1752.82
834,32,2,1410,318,85.8,23.8,Car,1708.96
835,32,4,2007,670,7.8,1,Bike,1696.05
836,48,4,1557,473,27.7,31.4,Bike,1467.42
837,42,2,1615,347,70.0,16.6,Car,1773.95
838,54,5,2016,674,16.9,33.5,Bike,1777.01
839,57,4,1488,620,24.6,15.9,Car,1383.71
840,75,2,1249,447,5.2,22.8,Public Transport,1052.41
841,42,1,520,436,36.1,33.7,Car,671.12
842,30,3,1274,260,42.9,8.1,Public Transport,1184.12
843,41,1,993,397,27.1,13.2,Public Transport,906.62
844,31,4,1705,456,56.5,11.5,Public Transport,1582.28
845,44,4,1333,514,17.9,15.9,Car,1214.29
846,44,3,1722,664,13.1,9.8,Public Transport,1458.87
847,53,2,878,438,58.8,15.9,Public Transport,913.57
848,40,3,1027,640,49.3,16.4,Public Transport,1006.27
849,60,3,1480,426,17.7,21.2,Car,1336.14
850,61,6,1598,932,18.0,43.5,Car,1446.44
851,18,5,1621,685,78.0,30.3,Car,1836.45
852,52,2,1307,560,37.4,17.8,Car,1316.82
853,29,3,1370,461,57.6,22.4,Public Transport,1316.5
854,30,2,528,279,32.0,17.5,Car,643.59
855,53,4,1761,538,62.3,4.4,Car,1839.25
856,32,2,804,362,61.8,7.1,Car,1052.53
857,50,3,1595,491,19.5,21.9,Electric Vehicle,1356.2
858,55,1,1070,248,94.3,14.5,Car,1478.99
859,19,3,1404,500,58.9,29.2,Car,1537.45
860,24,3,1116,399,17.4,2.4,Bike,1026.34
861,46,3,1062,448,40.6,21.5,Car,1137.82
862,41,4,1825,620,84.8,42.0,Car,2052.36
863,26,3,871,406,13.8,32.9,Bike,818.02
864,57,5,1791,584,90.1,36.9,Car,2055.28
865,24,2,792,511,24.4,14.9,Bike,811.12
866,74,4,1817,577,20.7,27.7,Bike,1634.78
867,46,3,1428,293,3.2,20.8,Bike,1201.81
868,27,4,1704,539,77.9,25.3,Car,1901.24
869,51,1,928,506,10.5,24.1,Bike,839.67
870,60,7,2288,745,75.6,43.1,Car,2374.73
871,46,5,2270,696,6.5,30.5,Bike,1918.3
872,56,5,1734,664,32.7,27.3,Public Transport,1539.2
873,41,2,776,322,22.7,6.3,Electric Vehicle,682.69
874,56,4,1860,759,3.3,41.9,Bike,1567.7
875,61,5,1842,497,9.8,34.4,Bike,1589.88
876,53,2,896,487,36.2,11.3,Car,968.92
877,50,3,1871,541,71.1,33.4,Car,1999.39
878,75,3,1357,324,4.3,24.6,Bike,1152.45
879,28,5,2498,755,14.5,35.6,Electric Vehicle,2094.32
880,42,1,500,436,35.1,20.7,Car,641.92
881,40,2,973,554,46.0,1,Car,1088.71
882,48,2,1245,349,7.5,29.5,Bike,1083.25
883,23,4,1741,574,2.0,9.7,Bike,1445.64
884,18,2,1354,460,2.3,22.6,Bike,1136.53
885,45,1,803,235,54.1,6.8,Car,1002.92
886,58,5,1658,644,55.3,27.4,Public Transport,1548.1
887,35,4,1412,617,16.7,27.4,Bike,1277.37
888,35,3,1014,565,19.8,28.9,Car,971.24
889,34,2,895,260,86.9,2.0,Car,1282.63
890,44,1,776,230,32.4,1.2,Electric Vehicle,698.39
891,49,4,1794,460,12.4,29.8,Car,1564.56
892,36,5,2108,561,32.3,34.3,Car,1949.76
893,32,2,1143,360,23.6,20.7,Public Transport,1022.31
894,46,1,895,104,43.3,1,Public Transport,870.9
895,18,1,535,369,82.7,18.3,Car,969.23
896,58,3,1654,468,42.7,9.1,Car,1630.31
897,28,4,1952,395,58.2,20.9,Car,1978.14
898,49,5,1942,644,25.3,44.0,Bike,1774.47
899,56,4,2141,613,28.9,27.2,Car,1951.9
900,24,3,1863,346,27.1,21.5,Public Transport,1624.12
901,33,2,1065,317,21.1,20.4,Bike,1016.75
902,30,4,2396,534,47.3,10.5,Electric Vehicle,2059.9
903,25,2,695,432,57.0,7.8,Car,933.33
904,51,5,2319,586,50.7,38.0,Public Transport,2080.87
905,54,4,1173,637,33.1,14.7,Car,1178.38
906,35,4,1778,545,60.4,40.7,Car,1859.37
907,25,4,1822,553,7.8,26.3,Bike,1556.88
908,24,5,2474,732,25.8,23.8,Bike,2203.85
909,62,5,2382,460,25.0,26.0,Public Transport,2045.45
910,39,6,2081,730,94.0,36.0,Car,2317.35
911,18,3,2010,387,53.7,16.5,Public Transport,1825.99
912,52,4,1398,454,31.2,17.8,Car,1352.27
913,37,4,2009,775,19.0,12.3,Public Transport,1714.15
914,35,1,1267,257,96.7,16.6,Car,1656.71
915,70,1,500,420,11.9,22.1,Car,496.44
916,40,5,1579,762,31.6,21.7,Car,1505.47
917,32,3,1625,435,21.0,30.1,Car,1480.28
918,23,1,1174,100,10.0,23.6,Public Transport,1006.08
919,49,3,1505,663,54.2,30.1,Electric Vehicle,1352.25
920,27,3,1393,584,43.0,2.7,Electric Vehicle,1225.46
921,20,5,1825,419,84.2,22.5,Car,2038.63
922,28,2,1376,443,12.5,1,Car,1208.01
923,65,4,1286,410,12.0,17.5,Bike,1139.28
924,35,4,1736,276,78.7,19.3,Car,1929.26
925,58,2,1119,295,76.2,12.1,Car,1403.98
926,67,5,1473,652,26.3,38.4,Bike,1393.4
927,74,2,1166,620,55.3,1,Electric Vehicle,1061.76
928,21,4,1617,521,28.6,15.5,Public Transport,1424.3
929,44,4,1158,718,21.6,1.8,Bike,1087.26
930,58,1,878,416,25.9,18.9,Bike,893.0
931,47,2,891,381,52.0,20.8,Electric Vehicle,839.68
932,44,3,1069,412,19.4,20.5,Public Transport,948.35
933,20,1,500,410,10.9,12.2,Car,485.18
934,54,3,921,424,33.1,2.7,Car,965.52
935,49,4,1540,603,79.8,47.0,Electric Vehicle,1437.72
936,30,1,500,373,37.2,8.9,Car,649.18
937,33,4,2026,514,33.4,1,Car,1872.75
938,44,4,1539,489,3.5,33.7,Bike,1301.37
939,52,4,2044,403,93.4,18.6,Car,2274.2
940,75,2,719,372,32.1,22.6,Electric Vehicle,661.92
941,70,3,1691,619,81.8,24.1,Car,1914.63
942,47,4,1730,529,59.7,38.2,Public Transport,1626.28
943,48,3,1057,583,54.4,29.0,Car,1224.54
944,20,4,1743,582,15.3,16.6,Bike,1534.53
945,40,7,2209,712,46.8,27.9,Electric Vehicle,1914.49
946,38,6,2488,607,20.4,13.4,Bike,2175.99
947,38,2,500,247,23.8,28.6,Car,574.49
948,58,3,1071,589,29.1,14.4,Bike,1069.34
949,24,1,529,444,96.2,1,Car,1040.78
950,40,6,2379,685,28.6,35.3,Bike,2149.3
951,33,5,2289,852,16.2,30.5,Electric Vehicle,1923.7
952,37,4,1408,542,14.7,7.5,Bike,1251.46
953,20,5,1781,761,20.0,32.2,Bike,1603.28
954,29,1,790,172,46.6,8.6,Public Transport,799.06
955,52,2,760,422,10.3,5.9,Bike,691.46
956,47,3,1189,319,36.2,18.0,Car,1212.36
957,18,5,1781,627,27.1,32.8,Bike,1648.18
958,29,3,1440,486,12.7,18.1,Bike,1270.35
959,63,5,1741,588,9.5,23.5,Public Transport,1469.88
960,44,3,1189,501,26.3,26.5,Bike,1154.42
961,39,5,1520,661,33.9,47.0,Car,1484.13
962,38,4,1827,537,17.4,8.5,Electric Vehicle,1535.81
963,43,3,1486,501,72.3,35.0,Car,1692.01
964,18,2,843,181,42.1,1,Public Transport,824.56
965,39,2,999,428,3.4,38.6,Bike,860.33
966,48,4,1490,453,39.4,11.0,Public Transport,1351.86
967,47,3,1244,565,12.0,20.5,Car,1106.49
968,52,2,500,184,28.1,16.4,Car,595.41
969,19,2,1085,383,74.2,30.5,Car,1372.79
970,41,3,947,381,53.7,14.5,Car,1122.48
971,27,2,810,213,74.3,1.3,Car,1133.15
972,42,3,1449,541,54.5,10.9,Car,1537.52
973,57,3,1330,440,15.6,14.1,Public Transport,1147.23
974,54,4,2295,467,69.1,34.5,Car,2334.95
975,53,4,1467,293,70.6,21.2,Car,1658.61
976,18,4,1099,481,70.0,15.5,Car,1350.41
977,51,4,1541,511,59.7,20.5,Public Transport,1462.44
978,54,4,1666,608,24.8,16.6,Bike,1531.27
979,48,3,1643,501,20.9,18.9,Car,1488.88
980,56,3,1587,656,13.3,24.0,Public Transport,1355.89
981,38,2,822,243,40.6,1,Electric Vehicle,751.52
982,52,4,1741,405,67.7,11.7,Electric Vehicle,1561.83
983,51,4,1234,392,21.0,20.0,Electric Vehicle,1061.96
984,60,1,731,417,12.6,16.7,Public Transport,647.88
985,54,2,606,466,49.5,6.5,Public Transport,656.56
